subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/2/2020,11/30/2018,12/2/2018,Winston Group,B/C,1000,rv,.7536122,0,47,41,47.695445,40.964974,"","",https://www.winningtheissues.org/wp-content/uploads/2018/12/WTI-Nov-2018-Aggs.pdf,66565,124055,5/29/2020,17:54:12  2 Nov 2020
All polls,11/2/2020,12/29/2018,12/30/2018,Winston Group,B/C,1000,rv,.61184135,0,48,41,48.695445,40.964974,"","",https://www.winningtheissues.org/wp-content/uploads/2019/01/Winning-the-Issues-Dec-2018-.pdf,66581,124115,5/29/2020,17:54:12  2 Nov 2020
All polls,11/2/2020,12/31/2018,1/2/2019,HarrisX,C,3012,rv,.03248749,0,45,35,49.540052,38.812195,"",T,https://scottrasmussen.com/generic-ballot-daily/,57208,92471,1/3/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/1/2019,1/3/2019,HarrisX,C,3012,rv,.03166734,0,44,35,48.540052,38.812195,"",T,https://scottrasmussen.com/generic-ballot-daily/,57218,92479,1/4/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/2/2019,1/4/2019,HarrisX,C,3003,rv,.03081043,0,43,36,47.540052,39.812195,"",T,https://scottrasmussen.com/generic-ballot-daily/,57221,92483,1/5/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/3/2019,1/5/2019,HarrisX,C,3000,rv,.03007173,0,43,37,47.540052,40.812195,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57229,92497,1/7/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/4/2019,1/6/2019,HarrisX,C,3000,rv,.02938385,0,43,36,47.540052,39.812195,"",T,https://scottrasmussen.com/toplines-congressional-ballot/,57230,92498,1/7/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/5/2019,1/7/2019,HarrisX,C,3005,rv,.02879524,0,43,36,47.540052,39.812195,"",T,https://scottrasmussen.com/generic-ballot-daily/,57231,92504,1/8/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/6/2019,1/8/2019,HarrisX,C,3004,rv,.02818777,0,43,35,47.540052,38.812195,"",T,https://scottrasmussen.com/generic-ballot-daily/,57245,92595,1/9/2019,17:54:12  2 Nov 2020
All polls,11/2/2020,1/4/2019,1/11/2019,HarrisX,C,7020,rv,.09684261,0,44,36,48.540052,39.812195,"",T,https://scottrasmussen.com/weekly-generic-ballot/,57295,92646,1/12/2019,17:54:12  2 Nov 2020
